species_code;subgroup_code;country_code
333;300;AT
333;300;BA
333;300;BE
333;300;CZ
333;300;DE
333;300;HR
333;300;ME
333;300;SK
330;300;AT
330;300;BA
330;300;BE
330;300;DE
330;300;HR
330;300;ME
330;300;SK
332;300;AT
332;300;BA
332;300;DE
332;300;ES
332;300;HR
332;300;LT
332;300;SK
107;0;AT
107;0;BA
107;0;CH
107;0;CZ
107;0;DE
107;0;ES
107;0;HR
107;0;LT
107;0;ME
107;0;NL
107;0;PL
107;0;SI
107;0;SK
107;0;UK
220;100;AT
220;100;BA
220;100;DE
220;100;ES
220;100;LT
220;100;NO
220;100;SI
220;100;SK
220;130;AT
220;130;BA
220;130;DE
220;130;FR
220;130;HR
220;130;SI
220;130;SK
220;115;AT
220;115;BA
220;115;IT
220;437;AT
220;437;BA
220;437;ES
220;437;HR
220;437;ME
220;430;AT
220;430;BA
220;430;ME
220;438;AT
220;509;AT
220;509;BA
220;500;AT
220;500;AT
220;510;AT
220;510;HR
220;510;ME
220;503;AT
220;506;AT
220;506;SI
220;615;ME
220;617;SI
227;590;ME
227;586;ME
227;585;ME
227;587;ME
227;589;ME
227;588;ME
227;100;AT
227;100;BA
227;100;DE
227;100;ES
227;100;HR
227;100;LT
227;100;NL
227;100;NO
227;100;SI
227;100;SK
227;130;AT
227;130;BA
227;130;DE
227;130;HR
227;130;NL
227;130;SI
227;130;SK
202;0;AT
202;0;BA
202;0;DE
202;0;ME
202;579;ME
202;580;ME
202;581;ME
202;578;ME
202;582;ME
222;100;AT
222;100;BA
222;100;CZ
222;100;DE
222;100;ES
222;100;FR
222;100;HR
222;100;IE
222;100;LT
222;100;ME
222;100;NL
222;100;NO
222;100;SI
222;100;SK
222;130;AT
222;130;BA
222;130;DE
222;130;HR
222;0;AT
222;0;BA
222;0;CH
222;0;ES
222;0;HR
222;0;IE
222;494;AT
222;495;AT
222;618;HR
222;618;SI
222;602;HR
222;602;ME
222;602;SI
222;603;ME
782;0;BA
782;0;ES
782;0;HR
782;0;ME
782;0;SI
225;100;AT
225;100;BA
225;100;DE
225;100;ES
225;100;LT
225;100;NL
225;100;NO
225;100;SK
225;130;AT
225;130;BA
225;130;DE
225;130;HR
225;130;NL
225;0;AT
225;0;BA
225;0;DE
225;0;ES
225;0;HR
225;0;ME
225;621;HR
225;595;ME
225;596;ME
225;597;ME
225;612;ME
225;614;ME
205;0;AT
205;0;BA
205;0;ME
123;0;AT
123;0;BA
123;0;CZ
123;0;DE
123;0;HR
123;0;ME
123;0;SI
123;0;SK
123;0;UK
111;0;AT
111;0;BA
111;0;CZ
111;0;DE
111;0;HR
111;0;IE
111;0;LT
111;0;ME
111;0;NL
111;0;SI
111;0;SK
111;0;UK
440;0;DE
